OBID,Latitude,Longitud,Date,Water Level,Flow Rate,Trash,State,Country
88,39.730491,-121.846541,11/14/14 16:56,Full,Slow,A lot,CA,US
89,37.439515,-122.179913,11/14/14 11:18,Dry,No Water,Some,CA,US
90,37.439515,-122.179913,11/14/14 11:18,Dry,No Water,Some,CA,US
91,39.73115,-121.844494,10/11/14 17:38,Some,Slow,Some,CA,US
92,40.584534,-122.414316,9/11/14 14:51,Some,Slow,Some,CA,US
93,40.584257,-122.414226,9/11/14 14:49,Some,Slow,Some,CA,US
94,40.583943,-122.413542,9/11/14 14:43,Some,Slow,Some,CA,US
95,39.730549,-121.846294,7/11/14 16:53,Some,Slow,None,CA,US
96,39.730066,-121.846353,10/31/14 18:29,Full,Fast,None,CA,US
97,39.730872,-121.844027,10/24/14 18:46,Some,Fast,None,CA,US
98,37.439506,-122.179871,10/24/14 11:42,Dry,No Water,None,CA,US
99,39.730364,-121.844717,9/22/14 18:48,Some,Slow,None,CA,US
100,39.730494,-121.844579,9/19/14 18:55,Some,Slow,None,CA,US
101,38.543377,-121.752348,9/15/14 14:48,Dry,No Water,None,CA,US
102,38.543423,-121.752635,9/15/14 14:51,Dry,No Water,None,CA,US
103,38.537281,-121.748105,12/9/14 19:14,Some,Still,Some,CA,US
104,33.758964,-118.377167,5/25/14 11:49,Some,Slow,Some,CA,US
105,37.439558,-122.17992,5/7/14 13:32,Dry,No Water,None,CA,US
106,37.439457,-122.179843,5/6/14 12:59,Dry,No Water,Some,CA,US
107,37.439504,-122.179834,3/5/14 14:46,Dry,No Water,Some,CA,US
108,37.439542,-122.179932,2/4/14 21:41,Some,Slow,None,CA,US
109,37.439567,-122.179893,2/9/14 11:58,Dry,No Water,None,CA,US
110,36.979153,-122.017404,5/21/14 15:24,Some,Slow,None,CA,US
111,36.981747,-122.026117,5/21/14 14:22,Some,Slow,Some,CA,US
112,36.983865,-122.15443,5/6/13 17:02,Full,Slow,Some,California,US
113,37.763595,-122.430066,7/5/14 13:45,Dry,No Water,None,CA,US
114,37.782242,-122.45825,1/5/14 16:11,Some,Slow,A lot,CA,US
115,37.789454,-122.48389,4/29/14 14:05,Some,Fast,None,CA,US
116,38.642493,-121.388212,4/27/14 20:08,Some,Fast,Some,CA,US
117,38.621816,-121.382812,4/27/14 19:15,Some,Still,Some,CA,US
118,37.789357,-122.48397,4/21/14 17:39,Some,Slow,None,CA,US
119,37.788268,-122.484474,4/21/14 17:33,Some,Slow,Some,CA,US
120,32.839472,-117.044541,9/4/14 13:00,Some,Fast,Some,CA,US
121,37.165305,-121.637955,3/25/14 18:53,Some,Slow,Some,California,US
122,40.560584,-122.424974,1/3/14 17:37,Some,Fast,None,California,US
123,40.560171,-122.425333,1/3/14 17:39,Some,Slow,None,California,US
124,40.560964,-122.425006,1/3/14 17:35,Full,Slow,None,California,US
125,40.562003,-122.42433,1/3/14 17:29,Full,Fast,None,California,US
126,37.439157,-122.179544,2/14/14 19:53,Some,Slow,Some,CA,US
127,37.439586,-122.179933,1/3/14 13:24,Some,Fast,None,CA,US
128,37.763442,-122.428744,2/24/14 12:10,Full,Fast,None,CA,US
129,37.165067,-121.636492,1/28/14 18:42,Some,Fast,None,California,US
130,38.630183,-121.533606,1/26/14 16:06,Some,Still,Some,CA,US
131,38.63496,-121.535866,1/26/14 15:44,Some,Still,A lot,CA,US
132,37.16516,-121.634551,1/14/14 18:40,Some,Still,None,California,US
133,37.164619,-121.633041,7/1/14 18:43,Some,Fast,None,California,US
134,37.16492,-121.632936,7/1/14 18:41,Some,Fast,Some,California,US
135,37.164868,-121.633577,7/1/14 18:39,Some,Slow,Some,California,US
136,37.165216,-121.634508,7/1/14 18:35,Some,Slow,None,California,US
137,37.937932,-121.707375,12/20/13 17:07,Some,Slow,Some,CA,US
138,37.439588,-122.179929,9/11/13 13:54,Dry,No Water,None,CA,US
139,37.439504,-122.17989,12/14/13 14:51,Dry,No Water,Some,CA,US
140,40.577051,-122.388863,12/12/13 13:19,Some,Slow,Some,California,US
141,37.947552,-122.088887,6/12/13 15:50,Some,Still,None,CA,US
142,37.167842,-121.660281,3/12/13 18:24,Full,Fast,None,California,US
143,37.727805,-122.405219,2/12/13 14:07,Full,Slow,None,CA,US
144,37.396574,-121.802162,9/25/13 12:42,Some,Slow,None,California,US
145,37.165793,-121.635981,10/22/13 17:52,Full,Still,Some,California,US
146,37.165502,-121.638375,10/22/13 19:04,Some,Fast,Some,California,US
147,37.167743,-121.660348,5/11/13 18:13,Full,Fast,None,California,US
148,37.166592,-121.654104,12/11/13 17:43,Some,Slow,Some,California,US
149,37.169256,-121.669007,12/11/13 18:23,Some,Slow,A lot,California,US
150,37.169272,-121.667635,12/11/13 18:28,Some,Slow,Some,California,US
151,40.584598,-122.394772,8/20/13 15:59,Some,Slow,Some,California,US
152,40.582634,-122.393972,10/17/13 13:06,Some,Slow,Some,California,US
153,41.323163,-122.812764,7/14/13 13:03,Some,Slow,None,California,US
154,41.570428,-122.846618,8/18/13 14:11,Dry,No Water,None,California,US
155,37.750499,-122.497584,2/10/13 16:51,Dry,No Water,None,CA,US
156,37.165438,-121.638482,9/24/13 17:47,Some,Fast,Some,California,US
157,37.439587,-122.179973,9/21/13 12:43,Dry,No Water,Some,California,US
158,36.924953,-118.228454,9/14/13 13:09,Full,Slow,None,California,US
159,37.411639,-118.395438,9/15/13 20:53,Full,Fast,None,California,US
160,37.947894,-122.089307,11/9/13 14:55,Some,Still,None,California,US
161,37.398991,-121.89846,10/9/13 17:37,Some,Slow,Some,California,US
162,37.927528,-121.711325,8/9/13 11:39,Some,Slow,Some,California,US
163,33.654722,-117.75899,5/28/13 18:03,Some,Still,Some,California,US
164,33.655074,-117.759809,6/9/13 15:50,Some,Slow,None,California,US
165,37.927051,-121.710363,1/9/13 12:42,Some,Slow,Some,California,US
166,33.770311,-118.396622,4/5/13 15:18,Some,Slow,None,California,US
167,33.788398,-118.353654,5/19/13 16:07,Some,Slow,None,California,US
168,33.801549,-118.131351,8/14/13 22:13,Dry,No Water,None,California,US
169,37.947783,-122.088906,8/8/13 21:27,Some,Slow,None,California,US
170,41.395925,-122.833481,7/14/13 12:29,Some,Slow,None,California,US
171,41.457536,-122.852359,7/14/13 12:11,Some,Slow,None,California,US
172,41.45722,-122.851839,7/14/13 12:08,Some,Slow,None,California,US
173,37.375764,-121.861369,7/13/13 16:58,Some,Fast,A lot,California,US
174,37.409908,-121.860978,7/13/13 16:45,Dry,No Water,A lot,California,US
175,37.412984,-121.857616,7/13/13 16:40,Dry,No Water,A lot,California,US
176,37.415437,-121.841011,7/13/13 16:31,Dry,No Water,None,California,US
177,37.110865,-122.065044,7/13/13 16:36,Full,Still,None,California,US
178,37.40854,-121.844963,7/13/13 16:25,Dry,No Water,Some,California,US
179,37.404416,-121.836441,7/13/13 16:18,Dry,No Water,None,California,US
180,37.257236,-121.791899,7/13/13 15:45,Some,Fast,Some,California,US
181,37.257253,-121.791912,7/13/13 15:44,Some,Slow,Some,California,US
182,37.257248,-121.791873,7/13/13 15:42,Some,Still,Some,California,US
183,41.35963,-122.822377,2/7/13 14:37,Some,Slow,None,California,US
184,41.438279,-122.845522,2/7/13 15:19,Full,Fast,None,California,US
185,41.438399,-122.845528,2/7/13 15:17,Some,Slow,None,California,US
186,41.359615,-122.822375,2/7/13 14:35,Some,Slow,None,California,US
187,40.436107,-122.283132,2/7/13 13:31,Full,Slow,A lot,California,US
188,37.447398,-122.170204,6/24/13 14:46,Some,Still,A lot,California,US
189,37.28398,-121.813867,9/6/13 13:14,Some,Slow,Some,California,US
190,37.207138,-121.823733,6/21/13 13:02,Some,Fast,None,California,US
191,37.937873,-121.707413,6/19/13 20:33,Some,Slow,None,California,US
192,37.935423,-121.708923,6/19/13 20:28,Some,Slow,None,California,US
193,37.934287,-121.709493,6/19/13 20:22,Some,Slow,None,California,US
194,33.750866,-116.70628,11/6/13 17:32,Some,Slow,None,California,US
195,34.273482,-117.128338,11/6/13 13:24,Some,Slow,Some,California,US
196,37.283961,-121.813755,10/3/13 12:54,Some,Slow,A lot,California,US
197,37.934095,-121.709789,5/28/13 10:41,Some,Slow,None,California,US
198,37.110687,-122.063745,5/24/13 17:59,Full,Still,None,California,US
199,37.439477,-122.179788,5/16/13 15:51,Dry,No Water,Some,California,US
200,37.43949,-122.179787,4/5/13 13:31,Some,Slow,None,California,US
201,33.770311,-118.396622,4/5/13 15:18,Some,Slow,None,California,US
202,33.654343,-117.758042,10/4/13 16:57,Some,Slow,Some,California,US
203,33.654073,-117.757588,3/5/13 16:24,Some,Slow,Some,California,US
204,39.280643,-123.289365,4/23/13 16:16,Some,Slow,None,California,US
205,39.280645,-123.289507,4/23/13 16:22,Some,Slow,None,California,US
206,39.376796,-123.326592,4/23/13 18:07,Some,Slow,Some,California,US
207,38.286488,-122.49348,4/18/13 19:14,Dry,No Water,Some,California,US
208,35.281493,-120.654634,12/4/13 22:01,Some,Fast,Some,California,US
209,36.59773,-118.093335,3/4/13 14:18,Full,Fast,Some,California,US
210,36.574471,-118.010827,3/4/13 20:01,Full,Fast,None,California,US
211,36.564632,-118.135237,2/4/13 11:55,Some,Fast,None,California,US
212,33.65503,-117.759848,3/30/13 16:54,Some,Still,Some,California,US
213,33.839008,-118.291547,3/23/13 15:57,Some,Slow,Some,California,US
214,37.334603,-122.035035,3/25/13 12:59,Dry,No Water,None,California,US
215,37.333906,-122.049216,3/25/13 12:57,Dry,No Water,None,California,US
216,37.439587,-122.179893,3/25/13 12:57,Some,Fast,Some,California,US
217,33.653376,-117.756188,3/21/13 16:51,Some,Slow,Some,California,US
218,37.376954,-121.968791,3/15/13 16:15,Some,Slow,Some,California,US
219,40.574301,-122.418483,3/14/13 15:05,Dry,No Water,A lot,California,US
220,40.548906,-122.381422,1/2/13 14:09,Some,Slow,Some,California,US
221,40.58065,-122.407352,3/14/13 15:00,Dry,No Water,A lot,California,US
222,40.581778,-122.404463,3/14/13 14:57,Some,Slow,Some,California,US
223,40.581745,-122.404633,3/14/13 14:56,Dry,No Water,A lot,California,US
224,40.582573,-122.403503,3/14/13 14:52,Dry,No Water,Some,California,US
225,40.583036,-122.401874,3/14/13 14:50,Some,Slow,A lot,California,US
226,37.375518,-121.968721,11/3/13 16:53,Some,Slow,Some,California,US
227,37.415422,-121.840991,9/3/13 16:16,Dry,No Water,None,California,US
228,37.408572,-121.844968,9/3/13 16:07,Dry,No Water,None,California,US
229,37.404596,-121.836436,9/3/13 15:57,Dry,No Water,Some,California,US
230,37.409849,-121.861142,9/3/13 16:36,Dry,No Water,Some,California,US
231,37.375593,-121.861526,9/3/13 17:21,Some,Fast,Some,California,US
232,37.412971,-121.857675,9/3/13 16:26,Dry,No Water,A lot,California,US
233,33.654768,-117.759234,1/2/13 17:15,Some,Slow,Some,California,US
234,33.810365,-118.090785,10/2/13 15:26,Some,Slow,Some,California,US
235,33.654641,-117.75889,8/3/13 17:12,Some,Fast,Some,California,US
236,33.655218,-117.760382,8/3/13 17:14,Some,Fast,Some,California,US
237,37.930502,-121.710624,5/3/13 12:15,Some,Slow,Some,California,US
238,37.930406,-121.71078,5/3/13 12:14,Some,Slow,Some,California,US
239,37.439433,-122.17978,10/2/13 17:09,Some,Slow,A lot,California,US
240,37.439544,-122.179983,2/26/13 20:29,Some,Slow,None,California,US
241,34.100229,-118.749924,2/14/13 14:32,Full,Slow,A lot,California,US
242,34.08116,-118.703533,2/21/13 13:46,Full,Fast,Some,California,US
243,37.494624,-122.222994,2/15/13 14:05,Dry,No Water,None,California,US
244,34.163218,-118.629796,2/2/13 14:47,Some,Fast,Some,California,US
245,34.100207,-118.711626,6/2/13 12:50,Some,Still,Some,California,US
246,34.097969,-118.71245,12/2/13 13:27,Some,Slow,None,California,US
247,38.973092,-123.108305,4/2/13 17:32,Dry,No Water,None,California,US
248,40.570672,-122.416168,5/1/13 11:32,Some,Slow,None,California,US
249,40.570658,-122.416168,5/1/13 11:32,Some,Still,None,California,US
250,33.654687,-117.758969,1/25/13 16:40,Some,Slow,Some,California,US
251,40.556525,-122.408899,1/22/13 17:15,Some,Slow,Some,California,US
252,37.001781,-121.59158,1/13/13 14:35,Full,Fast,A lot,California,US
253,34.04591,-118.687684,6/1/13 14:21,Full,Fast,Some,California,US
254,40.570658,-122.416168,5/1/13 11:32,Some,Still,None,California,US
255,40.560375,-122.403017,5/1/13 11:58,Some,Slow,Some,California,US
256,37.439528,-122.179824,12/29/12 14:06,Full,Fast,None,California,US
257,37.43859,-122.179519,12/22/12 13:31,Full,Fast,None,California,US
258,37.439443,-122.179805,3/12/12 19:05,Full,Fast,None,California,US
259,37.439469,-122.179887,11/23/12 12:26,Some,Slow,None,California,US
260,37.286935,-121.812069,12/29/12 12:35,Some,Fast,Some,California,US
261,37.369795,-121.868085,12/28/12 16:25,Some,Fast,Some,California,US
262,37.409886,-121.861063,12/28/12 15:50,Some,Fast,Some,California,US
263,37.408552,-121.844944,12/28/12 15:28,Some,Slow,Some,California,US
264,37.415378,-121.841018,12/28/12 15:34,Dry,No Water,None,California,US
265,37.412957,-121.85763,12/28/12 15:44,Some,Fast,Some,California,US
266,37.404472,-121.8364,12/28/12 15:21,Dry,No Water,A lot,California,US
267,37.28395,-121.813691,12/26/12 11:28,Some,Fast,A lot,California,US
268,40.575314,-122.380716,12/19/12 16:21,Some,Slow,A lot,California,US
269,40.57941,-122.39099,12/17/12 16:16,Full,Fast,A lot,California,US
270,40.576998,-122.389055,12/17/12 16:20,Full,Slow,Some,California,US
271,40.57715,-122.387999,12/17/12 16:22,Full,Fast,A lot,California,US
272,40.576967,-122.389275,12/17/12 16:19,Full,Fast,Some,California,US
273,40.574652,-122.37989,12/17/12 12:27,Full,Slow,A lot,California,US
274,40.572527,-122.374007,12/14/12 14:54,Full,Slow,A lot,California,US
275,40.572958,-122.375367,12/14/12 14:46,Full,Slow,A lot,California,US
276,37.108809,-122.07217,12/14/12 15:28,Some,Slow,Some,California,US
277,40.576452,-122.382727,11/12/12 17:13,Some,Slow,Some,California,US
278,40.560646,-122.283652,12/12/12 14:45,Full,Slow,Some,California,US
279,40.563611,-122.289595,12/12/12 14:48,Some,Fast,Some,California,US
280,36.980492,-122.138361,12/13/12 15:08,Some,Slow,None,California,US
281,36.987289,-122.153249,12/13/12 14:49,Some,Slow,None,California,US
282,37.000908,-122.181007,12/13/12 14:29,Some,Slow,Some,California,US
283,40.438906,-121.985662,11/12/12 14:25,Some,Slow,None,California,US
284,40.464171,-121.887829,11/12/12 12:48,Some,Slow,Some,California,US
285,40.574764,-122.379739,10/12/12 17:46,Some,Slow,A lot,California,US
286,40.455846,-121.899508,11/12/12 13:59,Full,Slow,Some,California,US
287,37.221785,-121.876575,9/12/12 16:37,Some,Slow,Some,California,US
288,33.89857,-118.330128,8/12/12 16:00,Some,Slow,Some,California,US
289,38.468116,-122.734859,2/12/12 13:56,Some,Slow,None,California,US
290,38.011367,-122.129286,2/12/12 11:52,Full,Fast,Some,California,US
291,38.01153,-122.129223,1/12/12 14:13,Some,Fast,Some,California,US
292,37.274014,-121.974122,10/5/12 22:13,Some,Still,Some,California,US
293,37.277307,-121.9737,10/5/12 22:20,Dry,No Water,None,California,US
294,37.22567,-121.978352,11/22/12 14:13,Some,Slow,Some,California,US
295,37.439404,-122.179893,11/18/12 17:54,Some,Slow,Some,California,US
296,37.439559,-122.179913,9/10/12 13:25,Dry,No Water,None,California,US
297,37.438641,-122.179839,10/22/12 18:54,Some,Fast,None,California,US
298,37.286888,-121.812153,9/18/12 11:24,Some,Slow,Some,California,US
299,33.749206,-118.303963,10/30/12 20:37,Some,Slow,Some,California,US
300,41.91223,-124.188311,10/22/12 21:03,Full,Slow,None,California,US
301,41.000187,-123.637203,10/24/12 11:50,Some,Slow,None,California,US
302,41.590783,-122.438054,10/24/12 20:33,Full,Slow,None,California,US
303,33.722509,-118.291109,10/28/12 22:30,Some,Still,Some,California,US
304,40.624505,-122.30509,10/25/12 16:21,Some,Slow,Some,California,US
305,37.261966,-121.981865,9/26/12 21:19,Dry,No Water,Some,California,US
306,36.988184,-122.150838,9/26/12 17:42,Some,Slow,None,California,US
307,37.785834,-122.406417,8/31/12 14:59,Full,Fast,None,California,US
308,37.439557,-122.179888,4/7/12 13:21,Some,Still,None,California,US
309,37.439603,-122.179865,11/8/12 13:33,Dry,No Water,None,California,US
310,37.259981,-122.032046,4/8/12 10:42,Some,Slow,None,California,US
311,37.350114,-121.986889,7/28/12 14:02,Some,Slow,Some,California,US
312,37.415338,-121.84103,7/21/12 15:22,Dry,No Water,None,California,US
313,37.40849,-121.844989,7/21/12 15:17,Dry,No Water,Some,California,US
314,37.404417,-121.83644,7/21/12 15:09,Dry,No Water,Some,California,US
315,37.350114,-121.986951,7/22/12 22:36,Some,Slow,Some,California,US
316,37.257726,-122.0362,6/5/12 11:13,Some,Slow,None,California,US
317,37.345281,-121.993525,7/14/12 20:57,Some,Fast,Some,California,US
318,37.350005,-121.986703,8/7/12 22:25,Some,Slow,Some,California,US
319,37.11036,-122.064686,7/7/12 14:44,Full,Still,None,California,US
320,34.139798,-118.167478,6/7/12 15:46,Some,Slow,Some,California,US
321,37.350042,-121.986907,1/7/12 23:05,Dry,No Water,Some,California,US
322,37.183804,-121.701776,1/7/12 14:42,Some,Slow,Some,California,US
323,37.213124,-121.728156,6/24/12 13:47,Some,Still,None,California,US
324,37.286827,-121.812096,6/23/12 13:53,Some,Slow,Some,California,US
325,37.350072,-121.986927,6/21/12 22:47,Some,Slow,Some,California,US
326,38.18295,-120.008873,6/17/12 22:05,Some,Slow,None,California,US
327,33.769333,-118.421266,10/6/12 14:56,Dry,No Water,Some,California,US
328,33.782787,-118.422472,10/6/12 13:27,Dry,No Water,Some,California,US
329,33.78491,-118.419972,10/6/12 13:20,Dry,No Water,Some,California,US
330,33.790971,-118.408237,10/6/12 12:40,Dry,No Water,None,California,US
331,33.798475,-118.406136,10/6/12 11:54,Dry,No Water,None,California,US
332,33.800965,-118.403282,10/6/12 11:38,Some,Slow,None,California,US
333,33.788796,-118.412903,10/6/12 12:53,Some,Slow,None,California,US
334,33.788083,-118.415387,10/6/12 13:00,Some,Slow,None,California,US
335,33.797244,-118.407562,10/6/12 12:04,Some,Slow,None,California,US
336,33.800859,-118.403062,10/6/12 11:33,Dry,No Water,None,California,US
337,33.801613,-118.401484,10/6/12 11:25,Dry,No Water,None,California,US
338,33.802167,-118.400095,10/6/12 11:18,Dry,No Water,None,California,US
339,33.802117,-118.399765,10/6/12 11:16,Some,Fast,Some,California,US
340,33.993231,-118.406085,7/6/12 20:38,Some,Fast,Some,California,US
341,37.501827,-122.261954,5/29/12 14:47,Some,Slow,None,California,US
342,37.369781,-121.868037,5/26/12 15:59,Some,Fast,A lot,California,US
343,37.410399,-121.861764,5/26/12 15:44,Dry,No Water,A lot,California,US
344,37.415389,-121.840964,5/26/12 15:21,Dry,No Water,None,California,US
345,37.408532,-121.845032,5/26/12 15:14,Dry,No Water,Some,California,US
346,37.412954,-121.857584,5/26/12 15:32,Dry,No Water,A lot,California,US
347,37.404406,-121.836826,5/26/12 15:08,Dry,No Water,Some,California,US
348,38.974717,-123.104181,5/21/12 11:57,Dry,No Water,None,California,US
349,37.284008,-121.813779,5/5/12 12:43,Some,Still,A lot,California,US
350,34.450027,-119.744733,8/5/12 14:24,Dry,No Water,None,California,US
351,35.356267,-120.786143,8/5/12 14:59,Full,Fast,None,California,US
352,35.344687,-120.794178,8/5/12 13:58,Full,Fast,None,California,US
353,35.362444,-120.756635,8/5/12 13:46,Full,Fast,None,California,US
354,35.366021,-120.750867,8/5/12 13:38,Full,Fast,None,California,US
355,34.456563,-119.710126,7/5/12 14:01,Some,Slow,None,California,US
356,34.459594,-119.709936,7/5/12 14:22,Some,Still,None,California,US
357,37.439626,-122.17989,4/18/12 19:12,Some,Fast,None,California,US
358,37.211771,-121.805686,4/30/12 18:00,Some,Still,None,California,US
359,37.247164,-121.965013,4/29/12 17:27,Full,Fast,None,California,US
360,37.674895,-121.78498,4/28/12 13:42,Full,Fast,Some,California,US
361,37.674687,-121.784798,4/28/12 13:58,Full,Fast,Some,California,US
362,37.674666,-121.784827,4/28/12 13:55,Full,Fast,Some,California,US
363,37.6747,-121.784911,4/28/12 13:53,Full,Fast,Some,California,US
364,37.67472,-121.784883,4/28/12 13:52,Full,Fast,Some,California,US
365,37.27019,-121.999119,4/23/12 22:10,Dry,No Water,None,California,US
366,37.369863,-121.867983,4/21/12 16:56,Some,Fast,A lot,California,US
367,37.409937,-121.861004,4/21/12 15:47,Some,Slow,A lot,California,US
368,37.412909,-121.857621,4/21/12 15:20,Some,Fast,A lot,California,US
369,37.404491,-121.836508,4/21/12 14:54,Dry,No Water,Some,California,US
370,37.408525,-121.844967,4/21/12 15:02,Dry,No Water,A lot,California,US
371,37.415356,-121.840996,4/21/12 15:08,Dry,No Water,None,California,US
372,32.558997,-117.092673,4/21/12 14:52,Full,Fast,A lot,California,US
373,37.239899,-121.945148,4/21/12 12:50,Some,Slow,None,California,US
374,37.259973,-122.032068,4/17/12 21:58,Full,Slow,None,California,US
375,37.259965,-122.032098,4/15/12 15:37,Full,Fast,None,California,US
376,39.549153,-123.424203,9/4/12 15:20,Some,Fast,None,California,US
377,37.173262,-121.834147,8/4/12 16:44,Dry,No Water,None,California,US
